Year,2017-18
Maharashtra,1850758
Tamil Nadu,1146936
Uttar Pradesh,1120206
Karnataka,1065018
West Bengal,869455
Rajasthan,697454
Andhra pradesh,666699
Telangana,620139
Madhya Pradesh,614464
Delhi,531646
Bihar,428491
Punjab,375701
Odisha,329351
Chhattisgarh,241377
Jharkhand,207120
Uttarakhand,171551
Himachal pradesh,108509
Tripura,39863
Puducherry,25471
Meghalaya,23613
Arunachal pradesh,20466
Manipur,20048
Sikkim,18477
Mizoram,15293
Assam,-
Goa,-
Gujarat,-
Haryana,-
Jammu & kashmir,-
Kerala,-
Nagaland,-
Andaman & Nicobar Islands,-
Chandigarh,-